id,source_lon,source_lat,target_lon,target_lat,bucket
medium_0018,5.980153,53.197740,6.136317,53.142898,medium
long_0018,6.175117,53.205765,6.609765,52.688551,long
short_0019,6.890616,53.166932,6.874579,53.171048,short
medium_0019,6.697299,53.431209,6.637936,53.358660,medium
long_0019,6.752198,53.449382,5.577356,53.181829,long
short_0020,6.316188,52.927316,6.261654,52.945290,short
medium_0020,6.046733,52.980772,6.195618,53.110413,medium
long_0020,5.872770,53.193816,6.502797,53.212151,long
short_0021,7.214866,53.216755,7.171317,53.236631,short
medium_0021,6.658087,53.448059,6.899660,53.300351,medium
long_0021,5.805896,52.928031,6.331780,52.785953,long
short_0022,5.469423,53.138960,5.479639,53.137576,short
medium_0022,6.910827,53.067932,6.598253,53.118028,medium
long_0022,5.833234,53.085631,6.571097,53.257910,long
short_0023,7.006118,52.665234,7.045396,52.683093,short
medium_0023,7.160635,53.228739,7.095306,53.001960,medium
long_0023,6.870973,53.241622,6.079679,53.152460,long
short_0024,6.421544,53.149755,6.382433,53.178344,short
medium_0024,6.841318,52.896194,6.530566,52.758296,medium
long_0024,5.709910,52.898238,6.565041,52.961367,long
short_0025,6.210844,52.911581,6.179527,52.892686,short
medium_0025,6.140637,52.752087,6.213648,52.708976,medium
long_0025,6.137665,52.934173,6.526992,53.103862,long
short_0026,6.613520,53.330432,6.579666,53.344452,short
medium_0026,5.711940,53.127164,5.671866,53.057858,medium
long_0026,6.773438,53.108070,6.075645,53.326762,long
short_0027,5.643945,53.183931,5.670023,53.166221,short
medium_0027,6.508597,52.831967,6.551855,52.923111,medium
long_0027,5.648043,53.297699,6.146111,53.093437,long
short_0028,5.820066,52.938302,5.834026,52.959176,short
medium_0028,5.849293,53.126760,5.543147,53.080946,medium
long_0028,6.193754,53.303344,6.718578,52.731246,long
short_0029,6.669157,53.116349,6.716211,53.108993,short
medium_0029,6.334417,53.065196,5.967473,53.207776,medium
long_0029,5.994418,53.015716,6.566198,52.676083,long
short_0030,6.440970,53.145692,6.408880,53.124731,short
medium_0030,6.453039,52.718873,6.207158,52.788307,medium
long_0030,6.664812,53.078445,5.993955,53.221546,long
short_0031,6.992193,53.224966,7.044519,53.209027,short
medium_0031,5.753126,52.977379,5.752715,52.874927,medium
long_0031,6.388915,53.140355,6.484126,52.645017,long
short_0032,5.578286,53.209840,5.581404,53.216190,short
medium_0032,6.079590,53.134891,5.961349,53.387538,medium
long_0032,6.630656,53.406524,5.922903,53.376978,long
short_0033,6.338462,53.199429,6.271014,53.199735,short
medium_0033,5.967758,52.942915,6.007271,52.901642,medium
long_0033,5.979809,53.135994,5.493309,53.062586,long
short_0034,5.416610,53.052781,5.418605,53.053548,short
medium_0034,5.752112,52.976967,5.629754,53.015049,medium
long_0034,6.666749,52.855599,6.819003,53.330047,long
short_0035,5.890113,52.841839,5.905535,52.837762,short
medium_0035,5.748705,52.819528,5.891934,52.895328,medium
long_0035,6.115024,53.203887,6.795850,52.934476,long
short_0036,5.978072,53.099682,5.968702,53.100423,short
medium_0036,6.259856,52.837933,6.145991,52.834803,medium
long_0036,6.449311,53.345051,6.999970,53.177514,long
short_0037,6.603388,53.070902,6.611541,53.047375,short
medium_0037,6.472033,53.079953,6.181502,53.086886,medium
long_0037,6.906139,52.747255,7.123192,53.074325,long
short_0038,5.549200,53.271070,5.571827,53.249890,short
medium_0038,6.370028,52.911345,6.443601,52.848140,medium
long_0038,6.588445,53.381643,5.989065,53.358992,long
short_0039,6.780270,53.257416,6.721300,53.249953,short
medium_0039,6.747227,52.711461,6.745884,52.758994,medium
long_0039,6.306790,52.906835,6.964505,52.806205,long
short_0040,6.287201,53.310315,6.267812,53.338337,short
medium_0040,6.651968,53.372187,6.872836,53.409692,medium
long_0040,6.014188,53.358204,6.524456,52.703146,long
short_0041,5.798492,52.992875,5.858247,53.010486,short
medium_0041,7.141096,52.925712,6.946642,53.093792,medium
long_0041,7.066927,53.086750,5.523737,53.035228,long
short_0042,6.620952,52.998160,6.606579,53.001469,short
medium_0042,5.733392,53.058799,6.117729,53.055225,medium
long_0042,6.716944,53.167465,7.184862,53.140521,long
short_0043,5.815382,53.140806,5.858208,53.121254,short
medium_0043,6.356634,53.375699,6.756850,53.415231,medium
long_0043,7.149928,53.133317,6.370646,52.748522,long
short_0044,6.357529,52.834205,6.342410,52.866703,short
medium_0044,6.450159,52.897490,6.457457,52.946309,medium
long_0044,6.939552,52.884988,6.391188,53.345255,long
short_0045,6.019778,52.897740,5.960256,52.923420,short
medium_0045,5.889584,53.191637,5.995461,53.049625,medium
long_0045,6.542954,53.254990,5.826109,52.858096,long
short_0046,6.351647,52.964088,6.350038,52.984017,short
medium_0046,7.119942,53.043259,6.856614,52.972952,medium
long_0046,6.055141,52.992826,5.375501,53.042247,long
short_0047,5.857814,53.358280,5.849448,53.358855,short
medium_0047,6.741775,52.855279,6.577394,52.754149,medium
long_0047,6.897118,52.974339,6.226375,52.966986,long
short_0048,6.764903,52.707465,6.761135,52.731158,short
medium_0048,6.844823,53.213366,6.641652,53.310634,medium
long_0048,5.580355,53.219283,6.579409,53.430595,long
short_0049,7.007420,53.183179,6.989879,53.188881,short
medium_0049,6.434168,53.225040,6.720940,53.202490,medium
long_0049,7.029003,53.156398,6.617634,52.774242,long
short_0050,6.510501,52.945710,6.512181,52.905207,short
medium_0050,6.961711,53.049325,6.737852,52.997359,medium
long_0050,7.048827,52.799329,5.946655,53.326212,long
short_0051,7.184218,53.048259,7.193317,53.055325,short
medium_0051,7.032879,52.844975,6.809537,52.793295,medium
long_0051,6.489654,52.944935,5.516925,53.035301,long
short_0052,5.491273,53.183285,5.478343,53.179676,short
medium_0052,6.861292,53.116616,6.866998,53.255264,medium
long_0052,6.634473,53.394953,6.339941,53.022182,long
short_0053,6.271066,52.812606,6.259056,52.811443,short
medium_0053,6.524482,53.283806,6.927652,53.178294,medium
long_0053,6.336398,52.684420,6.692652,53.083704,long
short_0054,6.791257,52.840072,6.773337,52.830195,short
medium_0054,6.527225,52.865026,6.128117,52.903451,medium
long_0054,5.776520,53.308781,6.416805,53.213139,long
short_0055,6.522908,53.165696,6.574851,53.160848,short
medium_0055,6.066659,53.204502,5.861179,53.172584,medium
long_0055,5.918205,53.190796,6.650357,53.252619,long
short_0056,6.084320,53.189100,6.086625,53.186695,short
medium_0056,6.058036,53.142928,6.068311,53.201047,medium
long_0056,5.649972,52.899282,5.773930,53.201764,long
short_0057,6.425564,52.987364,6.421812,52.986375,short
medium_0057,5.741870,53.278795,5.626818,53.167311,medium
long_0057,6.218266,52.976446,5.442954,53.063093,long
short_0058,6.628318,53.199389,6.560387,53.211800,short
medium_0058,6.758680,52.876733,6.402835,52.863134,medium
long_0058,6.397129,52.768118,5.800630,52.829652,long
short_0059,6.803736,52.833338,6.765140,52.864101,short
medium_0059,5.673600,53.033051,5.736222,53.118620,medium
long_0059,6.245383,53.305859,6.764971,53.384101,long
short_0060,6.129689,53.221106,6.138638,53.246810,short
medium_0060,6.808361,53.161380,6.889439,53.085863,medium
long_0060,6.638001,52.941580,5.593261,52.886994,long
short_0061,6.626250,53.074713,6.637978,53.059621,short
medium_0061,5.671026,53.154827,5.592527,53.193851,medium
long_0061,5.946396,52.876924,6.407511,53.157127,long
short_0062,6.798549,53.011999,6.849199,53.017650,short
medium_0062,7.047068,53.003753,6.870280,52.972823,medium
long_0062,7.079124,52.853917,5.518592,52.844648,long
short_0063,6.640453,52.714860,6.630001,52.720550,short
medium_0063,6.559638,53.159182,6.620514,53.397760,medium
long_0063,7.012359,53.234835,6.255641,53.112667,long
short_0064,6.199428,53.185580,6.201831,53.147049,short
medium_0064,6.452620,53.391101,6.495898,53.294453,medium
long_0064,7.095134,52.834757,6.662394,53.028903,long
short_0065,6.230573,52.945987,6.229538,52.944531,short
medium_0065,6.899190,52.833538,6.939787,52.901448,medium
long_0065,6.982253,53.031022,5.457498,53.069470,long
short_0066,5.478574,52.959453,5.486334,52.980432,short
medium_0066,6.729640,53.009583,6.452472,52.951241,medium
long_0066,5.531715,53.248873,5.947304,53.010937,long
short_0067,6.586046,52.956015,6.561538,52.919524,short
medium_0067,7.140959,53.059608,6.932655,53.004038,medium
long_0067,6.444165,53.115303,6.771236,53.317023,long
short_0068,6.347222,53.004581,6.303163,52.988324,short
medium_0068,6.127207,53.098873,5.961410,53.282610,medium
long_0068,5.785734,52.912552,5.972841,53.174304,long
short_0069,5.740976,53.316903,5.788335,53.341478,short
medium_0069,5.994028,53.320015,6.238723,53.226624,medium
long_0069,6.139562,53.027706,6.999005,52.837414,long
short_0070,5.592441,52.877607,5.529596,52.888046,short
medium_0070,6.739372,52.741904,6.504475,52.658966,medium
long_0070,6.328826,53.352135,5.675535,53.291698,long
short_0071,6.555867,53.008068,6.511902,53.029706,short
medium_0071,5.603634,53.284460,5.929267,53.289636,medium
long_0071,7.066132,52.867955,7.198354,53.203162,long
short_0072,6.117778,52.916096,6.138236,52.915770,short
medium_0072,5.556340,52.924716,5.709355,52.963117,medium
long_0072,6.778795,53.109335,6.232435,53.163800,long
short_0073,5.560264,53.014743,5.580355,53.002622,short
medium_0073,6.821124,52.891070,7.031301,52.820299,medium
long_0073,6.399028,53.135167,6.738766,52.918572,long
short_0074,6.333924,52.944051,6.280587,52.957530,short
medium_0074,6.996355,53.044387,6.840235,53.232636,medium
long_0074,6.469592,52.634937,7.015223,52.790277,long
short_0075,5.696621,53.171040,5.726132,53.134039,short
medium_0075,5.734892,53.064563,5.456663,52.919272,medium
long_0075,6.745329,53.002044,6.262219,52.944903,long
short_0076,6.223695,53.228663,6.176251,53.229798,short
medium_0076,6.041572,52.890901,5.860852,52.863836,medium
long_0076,5.747474,52.972025,6.943637,52.854513,long
short_0077,6.306497,52.716674,6.283316,52.706566,short
medium_0077,7.010063,53.006842,7.136000,53.048044,medium
long_0077,6.891400,53.208431,6.675799,52.813374,long
short_0078,5.848402,53.337451,5.804730,53.343211,short
medium_0078,6.657304,53.220177,6.469821,53.244265,medium
long_0078,5.563403,53.188652,6.056000,53.088053,long
short_0079,7.095837,53.002605,7.091577,52.976417,short
medium_0079,6.190167,53.240238,6.132644,53.183223,medium
long_0079,6.743543,53.263539,6.458175,52.634601,long
short_0080,5.441073,53.171034,5.441720,53.168138,short
medium_0080,5.552665,53.112920,5.442401,53.180818,medium
long_0080,5.817092,52.830580,6.028573,53.139198,long
short_0081,6.324585,52.974089,6.264115,52.964712,short
medium_0081,6.061519,53.324352,5.900544,53.152926,medium
long_0081,6.468359,53.322884,6.285269,52.990067,long
short_0082,6.054311,53.352069,6.046137,53.330172,short
medium_0082,6.337323,53.113612,6.065747,53.215094,medium
long_0082,6.681477,52.924701,6.987986,52.645694,long
short_0083,5.413885,53.078569,5.459117,53.098570,short
medium_0083,6.698816,53.252806,6.640963,53.292867,medium
long_0083,5.863974,53.392149,6.015025,52.985954,long
short_0084,6.079567,52.982572,6.088981,52.981828,short
medium_0084,6.196577,52.999569,6.335049,52.931314,medium
long_0084,6.918614,52.969821,6.730689,52.651001,long
short_0085,6.235881,52.925048,6.244781,52.938975,short
medium_0085,6.694563,52.988835,6.551747,52.969450,medium
long_0085,6.726999,52.944685,6.500929,52.710376,long
short_0086,7.182256,52.998430,7.146631,52.971093,short
medium_0086,6.176030,53.017885,6.143019,53.123223,medium
long_0086,6.850774,52.783185,5.532591,52.910299,long
short_0087,6.768130,52.659419,6.811642,52.660210,short
medium_0087,6.513302,53.171086,6.655591,52.990177,medium
long_0087,5.626969,53.213435,6.991029,53.249301,long
short_0088,6.331032,52.809577,6.377560,52.810907,short
medium_0088,5.865813,53.207581,5.617951,53.181653,medium
long_0088,7.014650,52.939936,6.168670,53.068033,long
short_0089,6.477403,52.897111,6.493941,52.906580,short
medium_0089,6.597670,52.916133,6.339891,52.750841,medium
long_0089,7.140402,52.953101,6.662508,53.062500,long
short_0090,6.416713,53.286430,6.369885,53.274433,short
medium_0090,6.736602,53.116845,7.076980,53.204479,medium
long_0090,6.538452,52.777637,6.350153,53.087474,long
short_0091,6.118807,52.907027,6.065000,52.890931,short
medium_0091,6.719493,52.846656,6.861534,52.848037,medium
long_0091,6.648720,53.158343,6.177968,53.007108,long
short_0092,6.864626,52.835933,6.834727,52.843915,short
medium_0092,5.826377,53.201180,6.158392,53.174535,medium
long_0092,6.454106,53.088584,7.042950,53.295077,long
short_0093,6.217800,52.878619,6.164772,52.886901,short
medium_0093,6.712666,52.763838,6.690126,52.961832,medium
long_0093,7.061701,53.186963,6.786506,52.905754,long
short_0094,7.066714,53.274809,7.017774,53.285507,short
medium_0094,6.166524,52.761788,6.384391,52.626392,medium
long_0094,6.973448,53.125788,6.503888,52.748202,long
short_0095,6.480596,53.130975,6.481528,53.134147,short
medium_0095,6.255983,53.234664,6.415468,53.230528,medium
long_0095,6.315382,52.985064,6.589373,53.256972,long
short_0096,5.745824,52.841807,5.802302,52.820185,short
medium_0096,6.727394,53.062812,6.654270,52.881822,medium
long_0096,6.830192,52.982248,6.793879,53.274288,long
short_0097,5.779444,53.095849,5.795168,53.074246,short
medium_0097,6.621777,52.835990,6.615784,52.724682,medium
long_0097,6.730171,53.284756,6.916816,52.988536,long
short_0098,5.829753,53.050850,5.874694,53.038210,short
medium_0098,6.474447,53.009437,6.361675,53.128749,medium
long_0098,6.242836,52.855486,5.804012,52.923206,long
short_0099,5.997209,53.195213,6.009464,53.233713,short
medium_0099,5.460585,52.928140,5.447994,52.857540,medium
long_0099,6.320886,52.742883,6.183154,53.037334,long
short_0100,5.701825,53.071750,5.735959,53.069333,short
medium_0100,6.108160,53.288039,6.200505,53.243705,medium
long_0100,6.559532,53.206269,5.988697,53.013773,long
short_0101,6.801088,53.314860,6.753174,53.343623,short
medium_0101,6.497672,52.940968,6.618233,52.807908,medium
long_0101,6.984800,52.756395,5.993596,52.895235,long
short_0102,6.369493,52.910781,6.395328,52.881048,short
medium_0102,7.044265,53.260664,6.975204,53.221563,medium
long_0102,6.218811,52.678973,6.281133,53.207919,long
short_0103,6.969454,53.224969,6.970665,53.203313,short
medium_0103,5.825552,52.949030,5.516284,53.111216,medium
long_0103,6.688205,52.701473,5.822785,53.263868,long
short_0104,6.697276,53.296359,6.680452,53.321256,short
medium_0104,6.464946,52.946182,6.829573,52.875553,medium
long_0104,6.371424,52.719711,5.987458,53.055962,long
short_0105,5.845587,52.953044,5.850687,52.955298,short
medium_0105,6.484295,53.307825,6.500542,53.168731,medium
long_0105,6.198251,53.088803,6.588492,53.246357,long
short_0106,5.838508,53.284012,5.827529,53.296954,short
medium_0106,5.766156,52.995684,6.149573,53.078980,medium
long_0106,5.612013,52.985253,6.749524,53.302543,long
short_0107,6.202031,53.098711,6.139698,53.082949,short
medium_0107,6.682736,53.200163,6.785022,53.154883,medium
long_0107,5.990928,52.983523,6.437548,52.655266,long
short_0108,6.713604,52.867470,6.771501,52.885433,short
medium_0108,6.034382,53.239770,6.254479,53.023577,medium
long_0108,6.790861,52.825777,5.874346,53.034723,long
short_0109,5.916723,53.047514,5.881338,53.074801,short
medium_0109,6.773651,53.036640,7.005999,52.922654,medium
long_0109,6.421351,52.750280,7.094614,53.228835,long
short_0110,5.715275,53.192419,5.710364,53.147703,short
medium_0110,6.076596,53.042758,6.466279,53.091197,medium
long_0110,6.954561,52.918367,6.049446,53.359010,long
short_0111,6.108223,53.392392,6.148191,53.359996,short
medium_0111,6.639036,53.081564,6.558057,53.158476,medium
long_0111,6.646573,53.296384,5.579894,52.910389,long
short_0112,5.608178,52.880409,5.589630,52.881347,short
medium_0112,5.604054,53.039702,5.856648,52.987697,medium
long_0112,6.147300,53.069719,6.807550,52.880516,long
short_0113,6.361151,52.975311,6.361974,52.976609,short
medium_0113,6.776151,52.756110,6.868495,52.777473,medium
long_0113,7.173481,53.101068,5.689096,52.924624,long
short_0114,6.675589,53.174065,6.676859,53.180859,short
medium_0114,6.795909,53.065724,6.913224,53.016283,medium
long_0114,6.902963,52.904310,6.705293,53.249989,long
short_0115,6.789856,52.985567,6.805977,52.978255,short
medium_0115,6.943942,52.930246,6.779696,52.852393,medium
long_0115,6.404899,53.246818,7.187692,53.232208,long
short_0116,6.938001,52.716486,6.961862,52.697658,short
medium_0116,6.881275,53.389515,6.618390,53.229183,medium
long_0116,6.604373,53.023523,6.440377,53.358096,long
short_0117,6.684503,53.411786,6.706219,53.406670,short
medium_0117,6.411302,53.284073,6.081571,53.361980,medium
long_0117,6.138549,53.221818,6.644817,53.382029,long
short_0118,5.854698,53.327719,5.880219,53.323420,short
medium_0118,6.372855,52.831970,6.319537,52.751117,medium
long_0118,6.582797,53.037745,6.845410,52.670593,long
short_0119,6.153995,53.393383,6.108280,53.373379,short
medium_0119,5.895487,53.341462,5.864498,53.185655,medium
long_0119,6.360503,53.130141,5.460851,52.967408,long
short_0120,6.011012,53.328963,6.032339,53.317881,short
medium_0120,6.126531,52.979535,6.378249,52.962202,medium
long_0120,6.617234,53.403583,5.820304,53.168844,long
short_0121,6.616875,53.240734,6.638399,53.226154,short
medium_0121,5.726625,53.197733,5.616978,53.196465,medium
long_0121,5.719798,53.432893,5.948977,53.175726,long
short_0122,6.593103,52.963644,6.650733,52.968603,short
medium_0122,6.835056,52.852932,6.888716,52.803294,medium
long_0122,6.025595,53.321753,5.519436,53.021704,long
short_0123,6.545965,52.780354,6.505122,52.811685,short
medium_0123,6.086472,53.069832,6.013867,53.115847,medium
long_0123,6.472979,53.100067,6.035283,52.969875,long
short_0124,6.719675,52.779411,6.710847,52.795677,short
medium_0124,5.476825,53.096410,5.605629,53.180096,medium
long_0124,5.496500,53.199524,5.425781,52.923188,long
short_0125,6.463653,52.611120,6.518170,52.612030,short
medium_0125,6.720595,53.233430,6.469429,53.199348,medium
long_0125,6.430774,53.070344,6.349581,52.657228,long
short_0126,6.199831,52.754682,6.194415,52.737883,short
medium_0126,6.791411,53.347201,6.832579,53.143896,medium
long_0126,6.707172,52.961591,6.174930,53.218777,long
short_0127,6.806754,52.904644,6.833853,52.908085,short
medium_0127,6.644773,52.836179,6.817935,52.826672,medium
long_0127,5.749314,53.442616,6.555298,52.975162,long
short_0128,5.740553,53.134716,5.750036,53.150588,short
medium_0128,6.765556,52.847244,6.786449,53.034166,medium
long_0128,6.143638,53.388304,5.703034,53.209736,long
short_0129,6.756074,53.445030,6.751687,53.429399,short
medium_0129,6.090695,53.110027,6.037268,52.856784,medium
long_0129,5.716150,52.953457,5.398304,53.180263,long
short_0130,6.741432,53.225850,6.715721,53.213119,short
medium_0130,5.852448,53.134429,5.918879,53.340316,medium
long_0130,6.730225,52.818639,6.716455,53.169479,long
short_0131,5.998806,52.886425,5.935334,52.880204,short
medium_0131,6.547189,52.806622,6.432771,52.715375,medium
long_0131,6.620983,52.856190,6.523141,53.176050,long
short_0132,6.828703,53.288547,6.807783,53.298954,short
medium_0132,6.602846,53.304769,6.834954,53.135508,medium
long_0132,6.079902,53.267238,7.063309,53.070221,long
short_0133,6.709523,52.881309,6.688730,52.864639,short
medium_0133,5.699194,53.080363,5.633811,53.189331,medium
long_0133,6.199837,53.467952,6.420675,52.920353,long
short_0134,6.485391,53.136878,6.462994,53.135062,short
medium_0134,6.780440,53.018207,6.786502,52.906889,medium
long_0134,6.237008,53.257739,6.767702,53.441832,long
short_0135,6.450379,52.652086,6.464346,52.642649,short
medium_0135,7.170539,52.992929,7.041791,52.969652,medium
long_0135,5.745031,53.235002,6.505262,53.233955,long
short_0136,5.795822,53.093376,5.793826,53.096258,short
medium_0136,6.129455,53.378768,6.144905,53.325035,medium
long_0136,6.053396,53.315778,6.024371,52.829484,long
short_0137,6.538805,53.060721,6.512109,53.090991,short
medium_0137,6.600746,53.054495,6.391246,53.120172,medium
long_0137,7.240159,53.233350,6.767266,53.261541,long
short_0138,6.766290,52.648578,6.825316,52.658457,short
medium_0138,6.515103,52.828121,6.831247,52.735385,medium
long_0138,6.476580,53.022418,5.782871,52.860959,long
short_0139,6.733362,52.814280,6.687698,52.830913,short
medium_0139,5.781862,52.933163,6.216721,52.876599,medium
long_0139,5.433836,53.076183,6.016764,53.235343,long
short_0140,6.517208,53.167737,6.575981,53.146659,short
medium_0140,5.869594,53.050512,5.657448,53.251547,medium
long_0140,6.748600,52.888929,6.997221,53.219560,long
short_0141,6.899743,53.232646,6.888082,53.221267,short
medium_0141,7.121229,53.166391,6.962025,53.048434,medium
long_0141,6.051938,53.060094,5.579066,53.222948,long
short_0142,6.141718,53.148348,6.145504,53.144644,short
medium_0142,5.753885,53.274330,5.879435,53.295258,medium
long_0142,6.745118,53.025085,6.517303,52.718947,long
short_0143,6.532496,53.382535,6.527455,53.375832,short
medium_0143,5.788588,52.855399,5.870619,52.841545,medium
long_0143,6.735755,53.097560,6.168983,52.903813,long
short_0144,5.603169,53.203114,5.664016,53.223969,short
medium_0144,5.890192,52.988987,5.961571,53.003836,medium
long_0144,5.495267,53.142624,6.327391,53.146338,long
short_0145,6.903773,52.803850,6.905704,52.785118,short
medium_0145,6.831466,52.747495,6.942242,52.808316,medium
long_0145,6.228298,52.690459,6.649895,52.872848,long
short_0146,6.298851,53.317511,6.320258,53.288289,short
medium_0146,6.597847,53.129263,6.487006,53.157694,medium
long_0146,7.011155,52.868646,6.148148,52.736280,long
short_0147,6.687188,53.360200,6.641796,53.372043,short
medium_0147,5.931331,53.283249,6.047620,53.277361,medium
long_0147,7.057003,52.954857,6.250775,52.973869,long
short_0148,6.064744,53.215520,6.053673,53.180271,short
medium_0148,5.506046,53.066761,5.492102,53.219291,medium
long_0148,5.176139,53.003178,5.921640,53.182369,long
short_0149,6.831321,52.672858,6.881671,52.701055,short
medium_0149,6.508254,53.272256,6.264968,53.248033,medium
long_0149,6.800947,53.445914,6.869590,53.076860,long
short_0150,7.176287,53.205859,7.134763,53.200055,short
medium_0150,6.567698,53.339548,6.443229,53.356135,medium
long_0150,6.385036,53.332404,5.178835,53.002235,long
short_0151,7.062384,53.165274,7.076435,53.182497,short
medium_0151,5.538363,53.102492,5.834238,53.272351,medium
long_0151,6.954260,53.235409,6.468131,53.342032,long
short_0152,6.957844,53.000625,6.985103,52.961442,short
medium_0152,6.788213,53.014069,6.586620,52.993704,medium
long_0152,6.612940,52.968488,6.305564,52.710054,long
short_0153,6.221526,52.935621,6.192779,52.953603,short
medium_0153,6.190938,53.158758,5.802940,53.104811,medium
long_0153,6.814871,53.428704,6.212930,53.142378,long
short_0154,6.131886,53.143355,6.073686,53.124669,short
medium_0154,6.315183,53.176725,6.444659,53.311789,medium
long_0154,6.711062,53.093216,6.187619,53.091028,long
short_0155,6.552478,52.964571,6.559287,52.921467,short
medium_0155,6.322867,53.162111,5.888643,53.142390,medium
long_0155,6.457024,52.982041,7.111862,52.991026,long
short_0156,5.388274,53.073329,5.369383,53.087743,short
medium_0156,6.433072,53.216092,6.279451,53.327308,medium
long_0156,6.696348,53.449178,6.274782,53.337956,long
short_0157,5.591338,52.868103,5.547033,52.860695,short
medium_0157,6.314929,53.138732,6.113276,52.926362,medium
long_0157,7.224355,53.205841,6.486129,53.380600,long
short_0158,6.170372,52.987831,6.188179,52.972711,short
medium_0158,6.479569,52.992282,6.635327,52.978295,medium
long_0158,6.672793,53.238700,6.722542,52.830089,long
short_0159,6.574424,52.734561,6.548735,52.735037,short
medium_0159,7.090568,53.115737,6.930176,53.024887,medium
long_0159,6.660453,53.085626,6.467030,52.744983,long
short_0160,6.441552,52.671614,6.484472,52.707954,short
medium_0160,6.317076,53.139682,6.662184,53.069657,medium
long_0160,5.745280,52.883569,6.737213,53.340976,long
short_0161,6.718793,52.918331,6.706673,52.916672,short
medium_0161,5.992955,53.086961,6.109143,53.143692,medium
long_0161,6.428774,52.709831,7.013124,53.005731,long
short_0162,6.454718,53.063676,6.454611,53.035862,short
medium_0162,6.910597,52.882361,6.665747,52.852238,medium
long_0162,6.591137,53.207359,5.903216,53.340349,long
short_0163,6.440536,53.058959,6.450452,53.074658,short
medium_0163,6.166624,52.840813,6.165562,52.752251,medium
long_0163,6.881721,53.021565,6.482452,52.848063,long
short_0164,6.488788,52.651659,6.533027,52.649170,short
medium_0164,6.798604,52.725341,6.958722,52.788093,medium
long_0164,6.822518,52.768733,6.409261,53.170104,long
short_0165,6.875268,52.683598,6.924437,52.706096,short
medium_0165,6.512331,52.822497,6.389271,52.748895,medium
long_0165,6.282364,53.326625,6.467044,52.999821,long
short_0166,6.855731,53.470012,6.818204,53.491326,short
medium_0166,6.265582,52.791394,6.249333,52.957409,medium
long_0166,5.936809,53.134105,6.938696,52.855827,long
short_0167,5.774159,53.210514,5.791127,53.205725,short
medium_0167,5.435046,53.106100,5.738595,53.283185,medium
long_0167,6.163335,52.685069,5.692020,52.926547,long
short_0168,6.424050,52.736473,6.431572,52.733547,short
medium_0168,6.630254,53.311862,6.550050,53.167658,medium
long_0168,6.906017,53.272302,6.636802,52.811641,long
